video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0700,360,300,308.916,39.0,33.0034,41.6753,33.2888,34.123062499999996,29.0321,36.074,26.791,29.632199999999997,2.495843,6.81,2.73
test0700,540,600,635.288,37.0,35.1258,43.7347,35.6248,36.2642875,31.2654,38.0562,29.1923,31.855112499999997,25.412006,14.33,5.96
test0700,540,900,937.36,34.0,35.9209,44.7572,36.5058,37.09855,32.2859,39.1522,30.1996,32.883399999999995,31.653742,16.37,6.42
test0700,540,1600,1581.328,30.0,36.7773,46.0375,37.5345,38.029475,33.4815,40.5348,31.4043,34.103512499999994,39.228182,20.53,7.3
test0700,720,2400,2243.894,30.0,38.2851,47.2113,39.2927,39.526825,35.1217,41.5993,33.1517,35.68514999999999,54.579661,39.64,12.58
test0700,720,3400,3595.122,27.0,38.9141,48.3921,40.2032,40.2599875,36.0645,42.7663,34.1851,36.6673,60.066435,52.42,14.3
test0700,1080,4500,4504.958,29.0,40.7531,49.4042,42.3132,42.029500000000006,37.7157,43.5963,36.2295,38.265,72.172563,92.58,30.53
test0700,1080,5800,6143.276,27.0,41.227,50.1907,43.0689,42.57769999999999,38.3695,44.3469,37.0344,38.9497875,75.021802,110.3,31.7
test0700,1440,8100,8120.338,27.0,42.5784,50.7249,44.8193,43.876825000000004,39.3468,44.6231,38.51,39.9017375,80.776968,181.98,54.01
test0700,2160,11600,12471.634,28.0,46.4907,51.8235,46.8849,47.206575,41.9787,45.6741,40.4133,42.24495,89.512829,363.97,112.78
test0700,2160,16800,17475.816,26.0,47.9331,52.6668,48.0376,48.53787500000001,43.2433,46.4986,41.5759,43.4417875,91.910627,453.77,124.84
test0701,360,145,147.542,43.0,25.3331,32.0382,33.3441,27.172612500000003,25.5714,31.7204,31.2998,27.056075000000003,1.554214,5.93,2.36
test0701,360,300,296.682,38.0,26.2289,33.111,34.5676,28.1315,26.6847,32.9318,32.6441,28.210512500000004,3.506238,7.92,2.36
test0701,540,600,565.784,38.0,27.8443,34.3604,35.8405,29.6583375,28.2813,34.2787,34.0288,29.7494125,14.795644,12.48,5.02
test0701,540,900,926.226,35.0,28.6717,35.2015,36.8061,30.504725,29.1539,35.1612,35.0293,30.639237500000004,17.867762,14.86,5.3
test0701,540,1600,1543.008,32.0,29.5294,36.0417,37.8019,31.377499999999998,30.084,36.0693,36.0737,31.580875,22.309641,17.74,5.55
test0701,720,2400,2447.546,32.0,31.3357,37.3026,39.107,33.052975,31.727,37.3637,37.5579,33.16045,35.532076,28.66,10.42
test0701,720,3400,3577.16,30.0,32.2618,37.9614,39.808,33.917525000000005,32.7101,38.0631,38.312,34.0794625,41.92588,35.78,12.08
test0701,1080,4500,4805.226,32.0,34.1279,39.237,41.1118,35.639525,34.3973,39.3414,39.7404,35.6832,51.381878,56.14,22.15
test0701,1080,5800,5715.742,31.0,34.7492,39.6543,41.5106,36.2075125,35.0286,39.7708,40.1742,36.264575,55.08659,61.7,22.53
test0701,1440,8100,8440.468,30.0,36.4644,40.7334,42.6029,37.765337499999994,36.6034,40.727,41.2362,37.69795,63.937561,102.32,39.64
test0701,2160,11600,12230.846,31.0,38.2244,42.1777,44.0567,39.4476,38.3221,42.1556,42.7026,39.34885,70.896299,196.01,85.21
test0701,2160,16800,16626.09,29.0,39.6133,43.3346,45.1627,40.7721375,39.7314,43.3225,43.8945,40.700675,77.072628,216.77,90.02
test0702,360,145,145.192,44.0,24.2437,38.1912,36.6264,27.534975,24.7044,37.0735,35.6711,27.621375,0.0,4.86,2.22
test0702,360,300,313.448,38.0,25.1077,40.1651,38.844,28.7069125,25.8221,39.0721,38.0071,29.001475,0.038998,5.65,2.36
test0702,540,600,632.29,37.0,26.9408,42.262,41.3348,30.6552,28.1759,41.2064,40.6277,31.3611875,22.954814,10.98,5.17
test0702,540,900,892.874,34.0,27.3145,43.554,42.6327,31.2592125,28.5848,42.3696,41.8596,31.96725,27.900898,12.05,5.4
test0702,540,1600,1609.986,29.0,27.8039,45.5865,44.7955,32.150675,29.0607,44.0449,43.8757,32.7856,34.13337,15.26,6.26
test0702,720,2400,2446.03,29.0,29.8108,46.7132,46.0783,33.9570375,31.3853,45.6172,45.5264,34.931925,54.791471,23.96,11.25
