video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0767,2160,3400,3358.108,26,54.6973,55.9199,54.9318,54.8794375,46.4857,47.1266,46.5503,46.5738875,91.298886,149.99,80.7
test0767,2160,4500,4837.618,24,55.5607,56.8838,55.9317,55.772462499999996,47.1587,48.1296,47.563,47.3306,92.458806,172.81,81.65
test0767,2160,5800,5841.92,23,56.0439,57.4345,56.4792,56.2721375,47.5643,48.7356,48.1471,47.7835625,93.010657,186.78,83.37
test0767,2160,8100,8299.694,21,57.0746,58.4786,57.5404,57.308324999999996,48.5081,49.8582,49.275,48.772724999999994,93.931824,214.83,85.26
test0767,2160,11600,12251.454,19,58.3904,59.7613,58.8478,58.6189375,49.8906,51.2995,50.6934,50.1670625,94.707862,257.31,90.63
test0767,2160,16800,16183.81,18,60.1591,60.7769,59.807,60.19231250000001,52.2792,52.6045,51.9111,52.27385,95.205263,267.13,90.6
test0768,2160,145,801.792,50,28.6515,38.3714,38.5182,31.099825,29.0034,38.4227,38.4787,31.365225,42.615348,95.3,79.16
test0768,2160,300,801.792,50,28.6515,38.3714,38.5182,31.099825,29.0034,38.4227,38.4787,31.365225,42.615348,95.3,79.16
test0768,2160,600,801.792,50,28.6515,38.3714,38.5182,31.099825,29.0034,38.4227,38.4787,31.365225,42.615348,95.3,79.16
test0768,2160,900,915.008,49,29.2752,38.8983,39.0797,31.703650000000003,29.609,38.9355,39.0109,31.950049999999997,46.540011,92.45,78.16
test0768,2160,1600,1662.872,44,32.3377,41.0058,41.2731,34.5381375,32.5409,40.88,41.1182,34.65545,63.298093,106.12,79.57
test0768,2160,2400,2423.95,41,34.1196,42.2751,42.6451,36.204725,34.7258,42.3118,42.6664,36.666625,71.396103,113.19,79.17
test0768,2160,3400,3343.704,38,35.391,43.4996,43.9433,37.4736125,36.3121,43.6963,44.1233,38.211524999999995,76.416415,133.2,80.92
test0768,2160,4500,4655.22,35,37.1179,44.6762,45.1096,39.06165,37.9629,44.8896,45.309,39.747,81.792542,133.2,83.13
test0768,2160,5800,5815.108,33,38.2037,45.5437,45.998,40.0954875,39.0065,45.716,46.1559,40.738862499999996,84.665567,147.7,86.55
test0768,2160,8100,8368.096,30,39.8788,46.8422,47.2994,41.6768,40.6405,46.9547,47.3922,42.2737375,88.439541,177.2,92.93
test0768,2160,11600,10889.762,28,41.0282,47.7577,48.2029,42.766225,41.7649,47.8596,48.2795,43.34106249999999,90.67215,196.63,99.27
test0768,2160,16800,16432.3,25,42.8287,49.0353,49.4911,44.437325,43.5493,49.1182,49.5504,44.99555,93.554318,235.91,108.7
test0769,2160,145,1164.316,50,33.5712,37.7442,37.5379,34.5886625,31.0453,35.1872,35.0462,32.06315,58.900306,83.96,75.93
test0769,2160,300,1164.316,50,33.5712,37.7442,37.5379,34.5886625,31.0453,35.1872,35.0462,32.06315,58.900306,83.96,75.93
test0769,2160,600,1164.316,50,33.5712,37.7442,37.5379,34.5886625,31.0453,35.1872,35.0462,32.06315,58.900306,83.96,75.93
test0769,2160,900,1164.316,50,33.5712,37.7442,37.5379,34.5886625,31.0453,35.1872,35.0462,32.06315,58.900306,83.96,75.93
test0769,2160,1600,1533.21,47,35.3058,38.9952,38.7518,36.197725,32.8214,36.4696,36.2644,33.7078,67.614017,92.96,77.2
test0769,2160,2400,2431.284,42,38.0324,41.192,40.9169,38.787912500000004,35.7029,38.7804,38.5318,36.441199999999995,78.116506,105.9,82.27
test0769,2160,3400,3436.516,38,39.6322,42.7434,42.4905,40.378387499999995,37.5569,40.5534,40.2836,38.272299999999994,82.70893,106.34,79.68
test0769,2160,4500,4676.248,35,41.1307,44.2541,43.9931,41.878924999999995,39.0156,42.0384,41.7579,39.7362375,86.148098,113.13,84.03
test0769,2160,5800,5779.916,33,42.0916,45.1735,44.9185,42.8302,39.9455,42.9503,42.6658,40.661137499999995,87.993341,127.9,89.24
test0769,2160,8100,8162.888,30,43.6104,46.5648,46.3082,44.316925,41.4066,44.3169,44.0302,42.09833749999999,90.456575,146.23,89.1
test0769,2160,11600,11999.516,27,45.3158,47.8572,47.6093,45.9201625,43.0445,45.6058,45.3229,43.6494625,92.689117,169.0,94.48
test0769,2160,16800,15687.254,25,46.4936,48.9056,48.6468,47.064249999999994,44.1732,46.6322,46.3383,44.7512125,93.899079,194.44,103.31
test0770,2160,145,830.354,50,31.8007,39.1374,37.5248,33.4333,30.1848,36.7418,35.2239,31.6343125,35.887643,106.2,70.28
test0770,2160,300,830.354,50,31.8007,39.1374,37.5248,33.4333,30.1848,36.7418,35.2239,31.6343125,35.887643,106.2,70.28
test0770,2160,600,830.354,50,31.8007,39.1374,37.5248,33.4333,30.1848,36.7418,35.2239,31.6343125,35.887643,106.2,70.28
test0770,2160,900,929.072,49,32.4144,39.6744,38.1078,34.033575,30.7997,37.2681,35.8114,32.2347125,39.840565,119.61,76.94
